name,birthday,nationality 
Tom Hanks,1956-07-09,USA 
Denzel Washington,1954-12-28,USA 
Leonardo DiCaprio,1974-11-11,USA 
Brad Pitt,1963-12-18,USA 
Julia Roberts,1967-10-28,USA 
Cate Blanchett,1969-05-14,USA 
Meryl Streep,1949-06-22,USA 
Walter Matthau,1920-10-01,USA 
Marlon Brando,1924-04-03,USA 
Anthony Hopkins,1937-12-31,USA 
Al Pacino,1940-04-25,USA S
andra Bullock,1964-07-26,USA 
Vin Diesel,1967-07-18,USA 
Mark Wahlberg,1971-06-05,USA 
Jennifer Lawrence,1990-08-15,USA 
Johnny Depp,1963-06-09,USA 
Ryan Reynolds,1976-10-23,USA  
Will Smith,1968-09-25,USA 
Christian Bale,1974-01-30,USA 
Dwayne Johnson,1972-05-02,USA  
Emma Stone,1988-11-06,USA  
Bruce Willis,1955-03-19,USA 
Julianne Moore,1960-12-03,USA  
Robert De Niro,1943-08-17,USA 
Angelina Jolie,1975-06-04,USA 
Joaquin Phoenix,1974-10-28,USA 
Harrison Ford,1942-07-13,USA 
Keanu Reeves,1964-09-02,USA 
Cameron Diaz,1972-08-30,USA 
Jared Leto,1971-12-26,USA 
Timothée Chalamet,1995-12-27,USA
